claim_id,food_id,receiver_id,status,timestamp,claim_date,claim_time,weekday
1,164,908,Pending,2025-05-03 05:26:00,2025-05-03,05:26:00,Saturday
2,353,391,Cancelled,2025-11-03 10:24:00,2025-11-03,10:24:00,Monday
3,626,492,Completed,2025-03-21 00:59:00,2025-03-21,00:59:00,Friday
4,61,933,Cancelled,2025-04-03 09:08:00,2025-04-03,09:08:00,Thursday
5,345,229,Pending,2025-03-14 15:17:00,2025-03-14,15:17:00,Friday
6,273,607,Cancelled,2025-02-03 02:50:00,2025-02-03,02:50:00,Monday
7,735,256,Cancelled,2025-07-03 23:58:00,2025-07-03,23:58:00,Thursday
8,382,900,Pending,2025-05-03 07:07:00,2025-05-03,07:07:00,Saturday
9,278,807,Completed,2025-03-18 02:26:00,2025-03-18,02:26:00,Tuesday
10,669,975,Completed,2025-06-03 19:57:00,2025-06-03,19:57:00,Tuesday
11,290,118,Pending,2025-04-03 23:01:00,2025-04-03,23:01:00,Thursday
12,694,739,Completed,2025-01-03 21:55:00,2025-01-03,21:55:00,Friday
13,951,959,Pending,2025-08-03 13:08:00,2025-08-03,13:08:00,Sunday
14,426,233,Cancelled,2025-08-03 16:08:00,2025-08-03,16:08:00,Sunday
15,684,97,Completed,2025-07-03 08:00:00,2025-07-03,08:00:00,Thursday
16,320,836,Cancelled,2025-07-03 06:17:00,2025-07-03,06:17:00,Thursday
17,465,588,Cancelled,2025-03-15 16:49:00,2025-03-15,16:49:00,Saturday
18,952,729,Completed,2025-09-03 02:04:00,2025-09-03,02:04:00,Wednesday
19,798,399,Pending,2025-03-16 06:32:00,2025-03-16,06:32:00,Sunday
20,792,88,Completed,2025-07-03 12:15:00,2025-07-03,12:15:00,Thursday
21,281,493,Completed,2025-04-03 00:29:00,2025-04-03,00:29:00,Thursday
22,345,757,Pending,2025-09-03 03:11:00,2025-09-03,03:11:00,Wednesday
23,674,526,Completed,2025-06-03 22:55:00,2025-06-03,22:55:00,Tuesday
24,594,717,Pending,2025-03-15 00:51:00,2025-03-15,00:51:00,Saturday
25,371,10,Completed,2025-10-03 07:10:00,2025-10-03,07:10:00,Friday
26,959,233,Cancelled,2025-03-21 04:34:00,2025-03-21,04:34:00,Friday
27,58,487,Completed,2025-03-17 05:07:00,2025-03-17,05:07:00,Monday
28,586,189,Pending,2025-03-19 04:15:00,2025-03-19,04:15:00,Wednesday
29,812,769,Pending,2025-03-14 17:09:00,2025-03-14,17:09:00,Friday
30,193,228,Pending,2025-07-03 04:05:00,2025-07-03,04:05:00,Thursday
31,937,546,Completed,2025-03-03 02:06:00,2025-03-03,02:06:00,Monday
32,624,371,Cancelled,2025-03-17 12:57:00,2025-03-17,12:57:00,Monday
33,905,386,Cancelled,2025-03-16 14:26:00,2025-03-16,14:26:00,Sunday
34,713,271,Pending,2025-03-18 01:17:00,2025-03-18,01:17:00,Tuesday
35,190,93,Cancelled,2025-09-03 21:40:00,2025-09-03,21:40:00,Wednesday
36,597,562,Pending,2025-03-16 03:41:00,2025-03-16,03:41:00,Sunday
37,832,920,Cancelled,2025-03-13 03:50:00,2025-03-13,03:50:00,Thursday
38,757,380,Cancelled,2025-03-18 05:29:00,2025-03-18,05:29:00,Tuesday
39,58,923,Pending,2025-12-03 09:57:00,2025-12-03,09:57:00,Wednesday
40,141,789,Pending,2025-10-03 04:14:00,2025-10-03,04:14:00,Friday
41,415,336,Pending,2025-03-18 04:33:00,2025-03-18,04:33:00,Tuesday
42,886,256,Pending,2025-07-03 12:22:00,2025-07-03,12:22:00,Thursday
43,611,306,Pending,2025-03-16 17:08:00,2025-03-16,17:08:00,Sunday
44,825,31,Pending,2025-09-03 13:02:00,2025-09-03,13:02:00,Wednesday
45,457,569,Completed,2025-03-13 07:07:00,2025-03-13,07:07:00,Thursday
46,556,412,Cancelled,2025-12-03 02:30:00,2025-12-03,02:30:00,Wednesday
47,746,48,Pending,2025-07-03 10:45:00,2025-07-03,10:45:00,Thursday
48,895,373,Pending,2025-09-03 23:13:00,2025-09-03,23:13:00,Wednesday
49,190,678,Pending,2025-03-20 13:44:00,2025-03-20,13:44:00,Thursday
50,251,804,Pending,2025-03-19 13:18:00,2025-03-19,13:18:00,Wednesday
51,543,255,Pending,2025-04-03 10:59:00,2025-04-03,10:59:00,Thursday
52,507,517,Cancelled,2025-03-15 14:58:00,2025-03-15,14:58:00,Saturday
53,37,449,Completed,2025-11-03 09:43:00,2025-11-03,09:43:00,Monday
54,534,737,Cancelled,2025-06-03 01:44:00,2025-06-03,01:44:00,Tuesday
55,438,601,Completed,2025-09-03 00:13:00,2025-09-03,00:13:00,Wednesday
56,690,452,Completed,2025-03-17 14:29:00,2025-03-17,14:29:00,Monday
57,225,295,Completed,2025-11-03 21:44:00,2025-11-03,21:44:00,Monday
58,258,149,Completed,2025-03-13 15:12:00,2025-03-13,15:12:00,Thursday
